Index,avg_price_per_kg
1,10.848449
2,12.250501
3,9.967229
4,8.659399
5,8.066556
6,4.6380773
7,3.647149
8,7.8357115
9,8.612626
10,9.581708
11,5.402126
12,5.745008
13,8.32647
14,4.4597006
15,4.5041714
16,6.099709
17,7.676604
18,4.466321
19,10.646694
20,6.196044
21,5.909811
22,4.8141923
23,5.7339196
24,7.7581463
25,5.5763392
26,5.9841585
27,7.562049
28,7.958776
29,7.6550956
30,7.121335
31,7.7281337
32,5.561302
33,9.661692
34,7.613247
35,4.8654237
36,9.857082
37,11.033245
38,11.358142
39,6.3590865
40,6.4179063
41,8.28597
42,7.737502
43,4.9461617
44,6.290057
45,5.600005
46,4.8277874
47,4.9554534
48,5.426659
49,6.1571455
50,4.418566
51,1.3474035
52,6.3774033
53,6.456456
54,13.796229
55,8.7564
56,5.3601027
57,11.918101
58,9.019261
59,8.182264
60,5.948852
61,8.47896
62,11.38126
63,6.2709174
64,9.076405
65,6.2641664
66,6.2914987
67,6.797258
68,4.6608
69,5.436533
70,7.1648636
71,5.3488708
72,4.5078506
73,2.9709995
74,8.082306
75,6.925486
76,4.9350057
77,5.881727
78,9.164369
79,11.228677
80,6.2720456
81,6.862043
82,4.864418
83,5.8699613
84,5.6231837
85,1.1221796
86,5.683385
87,7.3279157
88,11.4676695
89,4.642259
90,6.592506
91,9.506899
92,9.808793
93,7.426339
94,6.1929345
95,6.024908
96,6.171111
97,8.320694
98,8.836315
99,6.935833
100,5.603743
101,11.324355
102,6.181477
103,6.0022945
104,7.764429
105,7.1548834
106,8.372107
107,7.548994
108,2.693309
109,9.987994
110,4.990618
111,4.163945
112,7.803934
113,6.02249
114,4.207563
115,6.635809
116,10.084596
117,5.35241
118,9.844759
119,4.4600673
120,6.262806
121,6.0024323
122,4.084321
123,9.943513
124,4.506264
125,8.41414
126,7.212688
127,4.3228183
128,9.406547
129,9.762534
130,5.758152
131,7.5165772
132,5.5435305
133,8.950415
134,8.339979
135,1.25165
136,6.2391586
137,7.801236
138,7.2196755
139,7.922577
140,5.491815
141,7.787368
142,5.4967775
143,8.978936
144,4.928713
145,8.973087
146,6.698913
147,5.531875
148,7.9319186
149,5.5248594
150,8.787656
151,10.001572
152,7.869024
153,4.974142
154,8.257332
155,7.10338
156,11.064941
157,5.256662
158,4.5849595
159,5.982742
160,6.0262346
161,7.999189
162,9.911597
163,6.982455
164,8.324179
165,7.547946
166,8.253153
167,8.180873
168,6.756463
169,4.947286
170,7.739309
171,8.553086
172,6.280003
173,5.0401783
174,11.966212
175,6.00893
176,4.67882
177,8.116309
178,5.7557545
179,6.2902665
180,7.200287
181,5.030256
182,0.23360194
183,10.278129
184,7.3892703
185,7.005577
186,0.105119295
187,4.9737096
188,9.707549
189,6.8157496
190,5.766539
191,5.602444
192,9.028051
193,4.9753714
194,4.5299077
195,9.963835
196,8.759222
197,9.428437
198,7.053753
199,5.998037
200,7.480361
201,7.8892164
202,2.7256885
203,8.077123
204,1.7777506
205,6.3941803
206,4.4811716
207,8.213364
208,7.7581463
209,7.505098
210,8.551092
211,7.31167
212,12.355874
213,5.6243653
214,5.949806
215,9.538927
216,5.5798187
217,6.064609
218,5.47103
219,10.594514
220,7.533063
221,5.557815
222,5.1138844
223,8.786468
224,11.233498
225,11.59928
226,6.6951594
227,6.655192
228,5.5248594
229,9.1199875
230,5.6103024
231,4.758618
232,10.587295
233,7.641511
234,5.291352
235,6.634531
236,6.1492834
237,9.058001
238,8.971589
239,4.136336
240,5.864621
241,4.4255157
242,5.226649
243,6.762456
244,8.13448
245,10.77915
246,6.980001
247,5.9030848
248,7.6689234
249,5.2387996
250,9.646367
251,8.289131
252,9.677764
253,4.9168987
254,5.00398
255,6.621273
256,4.595824
257,6.9165683
258,8.958337
259,8.719117
260,8.421246
261,10.636081
262,11.034655
263,6.0136642
264,6.026745
265,4.989903
266,7.4298596
267,4.926564
268,6.3961596
269,3.6891618
270,6.6233172
271,8.140367
272,6.737746
273,10.742263
274,1.6741593
275,7.70296
276,10.011376
277,5.1177754
278,6.7766967
279,5.9903684
280,8.184264
281,4.8472414
282,6.049674
283,6.0467467
284,4.3495526
285,9.270389
286,4.5679584
287,6.0121818
288,5.2251153
289,8.217982
290,7.9887557
291,6.0372443
292,5.974167
293,5.9797096
294,1.2134416
295,6.770113
296,7.0404086
297,8.229702
298,8.919634
299,7.7525964
300,7.8544807
301,5.473708
302,6.0952024
303,4.4339275
304,6.19957
305,8.569175
306,9.510197
307,5.525549
308,4.5070157
309,8.322224
310,6.1998067
311,6.0503054
312,7.3114705
313,5.160571
314,8.369847
315,10.636854
316,8.34892
317,6.1568437
318,5.740358
319,5.6596894
320,6.82276
321,6.001755
322,6.6484437
323,4.174568
324,8.10918
325,5.0367627
326,3.9054697
327,7.454754
328,5.9194083
329,10.895909
330,7.481737
331,5.480693
332,5.5356917
333,9.007988
334,6.5127707
335,8.239438
336,8.166577
337,8.692882
338,6.6653204
339,7.547874
340,4.644173
341,6.7980537
342,5.3562417
343,8.923294
344,6.911557
345,9.35611
346,6.7265735
347,9.413473
348,5.005814
349,8.13778
350,8.199153
351,7.173991
352,9.644257
353,7.643766
354,9.639783
355,6.451504
356,6.7961392
357,5.8743305
358,8.914553
359,8.582997
360,8.308332
361,6.580913
362,6.4335713
363,6.9579453
364,9.287208
365,5.7604465
366,6.939506
367,7.5553536
368,7.5972896
369,5.5953965
370,8.75102
371,4.706166
372,6.707172
373,6.0866985
374,9.252081
375,6.1051373
376,7.2013
377,4.967564
378,6.664758
379,7.643766
380,6.9047513
381,5.9322963
382,7.114274
383,6.6999073
384,6.9161897
385,2.7868135
386,7.509507
387,6.2793965
388,8.712358
389,3.3882058
390,9.440404
391,6.6623054
392,6.5947814
393,9.182637
394,9.390586
395,1.3158243
396,8.704812
397,7.272102
398,7.2551026
399,7.338222
400,5.917017
401,5.9205003
402,3.453825
403,10.520737
404,4.981013
405,5.9139957
406,9.920956
407,4.657566
408,7.7199144
409,4.657581
410,10.100857
411,9.594238
412,4.207563
413,6.0026355
414,8.005667
415,9.349354
416,4.562372
417,8.35346
418,5.266241
419,10.096613
420,6.7249374
421,3.0590894
422,4.79271
423,7.8664064
424,4.9335766
425,6.51606
426,9.376942
427,8.136694
428,7.7822165
429,8.707964
430,6.5868273
431,10.153584
432,7.977027
433,7.390568
434,11.246173
435,7.2248974
436,7.755857
437,4.511668
438,5.5342603
439,5.9243393
440,6.028356
441,7.520067
442,6.0119395
443,9.974415
444,9.869775
445,9.035629
446,10.448992
447,7.445253
448,8.394103
449,8.088438
450,8.506527
451,9.829561
452,6.8690615
453,9.327892
454,8.200201
455,6.367031
456,7.793126
